name,n_taxa,n_trees,n_reticulations,msa_size,sites_per_tree,sampling_type,simulation_type,celine_params,brlen_scaler,seqgen_params,near_zero_branches_raxml,n_equal_tree_pairs,true_network_weirdness,true_network_path,fixed_reticulation_prob,runtime_raxml,inferred_network_path,likelihood_type,brlen_linkage_type,start_type,timeout,n_random_start_networks,n_parsimony_start_networks,runtime_inference,use_partitioned_msa,n_reticulations_inferred,bic_true,logl_true,bic_inferred,logl_inferred,bic_raxml,logl_raxml,rf_absolute_raxml,rf_relative_raxml,rf_absolute_inferred,rf_relative_inferred,msa_patterns,unrooted_softwired_network_distance,unrooted_hardwired_network_distance,unrooted_displayed_trees_distance,rooted_softwired_network_distance,rooted_hardwired_network_distance,rooted_displayed_trees_distance,rooted_tripartition_distance,rooted_path_multiplicity_distance,rooted_nested_labels_distance,aic_true,aicc_true,aic_raxml,aicc_raxml,aic_inferred,aicc_inferred
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_14_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.16024557383620258| 'lambda': 22.3083538417634| 'nu': 0.0669250615252902| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_14_0/0_0_true_network.nw,0.5,8.727,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_14_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,3.2969999999999997,False,0.0,29086.52622,-14273.04892,29044.12337,-14273.04077,29044.12337,-14273.04077,-1,-1,-1,-1,996,0.15,0.25,1.0,0.3043478261,0.3913043478,1.0,0.3913043478,0.24444444440000002,0.48,28648.09785,28648.23062,28640.08153,28640.19447,28640.08154,28640.19448
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_15_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13610782575916203| 'lambda': 13.707261696054365| 'nu': 0.041121785088163096| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,1,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_15_0/0_0_true_network.nw,0.5,8.705,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_15_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,16.301,True,0.0,27515.55854,-13439.88023,27745.29183,-13575.94014,27745.29181,-13575.94013,-1,-1,-1,-1,934,0.10526315789999999,0.05555555556,1.0,0.375,0.3181818182,1.0,0.4583333333,0.2045454545,0.48,26999.76045,26999.94373,27263.88026,27264.04009,27263.88028,27264.04011
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_15_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.13610782575916203| 'lambda': 13.707261696054365| 'nu': 0.041121785088163096| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,1,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_15_0/0_0_true_network.nw,0.5,8.705,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_15_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.176,False,0.0,27704.83249,-13582.20206,27658.70127,-13580.32972,27658.70124,-13580.3297,-1,-1,-1,-1,934,0.10526315789999999,0.05555555556,1.0,0.375,0.3181818182,1.0,0.4583333333,0.2045454545,0.48,27266.40412,27266.53689,27254.65941,27254.77234,27254.65943,27254.77237
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_16_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.21737776350704502| 'lambda': 23.115954296826743| 'nu': 0.06934786289048023| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_16_0/0_0_true_network.nw,0.5,8.674,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_16_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,18.106,True,0.0,30480.24777,-14922.22484,30874.20359,-15140.39602,30874.20351,-15140.39598,-1,-1,-1,-1,1077,0.05555555556,0.05555555556,1.0,0.2727272727,0.2380952381,1.0,0.3181818182,0.1627906977,0.347826087,29964.44968,29964.63296,30392.79196,30392.95179,30392.79204,30392.95187
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_16_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.21737776350704502| 'lambda': 23.115954296826743| 'nu': 0.06934786289048023| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_16_0/0_0_true_network.nw,0.5,8.674,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_16_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.88,False,0.0,30825.43057,-15142.5011,30782.49182,-15142.225,30782.49181,-15142.22499,-1,-1,-1,-1,1077,0.05555555556,0.05555555556,1.0,0.2727272727,0.2380952381,1.0,0.3181818182,0.1627906977,0.347826087,30387.0022,30387.13497,30378.44998,30378.56291,30378.44999,30378.56293
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_17_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.17862002155208753| 'lambda': 20.266119324723583| 'nu': 0.06079835797417075| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_17_0/0_0_true_network.nw,0.5,8.283999999999999,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_17_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,20.257,True,0.0,24822.1426,-12093.17226,25720.1585,-12563.37348,25720.15863,-12563.37354,-1,-1,-1,-1,827,0.2272727273,0.3636363636,1.0,0.3846153846,0.4583333333,1.0,0.52,0.2826086957,0.5384615385,24306.34452,24306.5278,25238.74708,25238.90691,25238.74696,25238.90679
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_17_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.17862002155208753| 'lambda': 20.266119324723583| 'nu': 0.06079835797417075| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_17_0/0_0_true_network.nw,0.5,8.283999999999999,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_17_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.695,False,0.0,26091.69235,-12775.63199,25633.67692,-12567.81755,25633.67702,-12567.81759,-1,-1,-1,-1,827,0.2272727273,0.3636363636,1.0,0.3846153846,0.4583333333,1.0,0.52,0.2826086957,0.5384615385,25653.26398,25653.39675,25229.63518,25229.74812,25229.63509,25229.74803
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_18_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.12287276375771886| 'lambda': 22.560303532179592| 'nu': 0.06768091059653877| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_18_0/0_0_true_network.nw,0.5,8.229,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_18_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,14.441,True,0.0,23157.96717,-11261.08454,23666.86866,-11536.72856,23666.86865,-11536.72855,-1,-1,-1,-1,750,0.15,0.25,1.0,0.44,0.4583333333,1.0,0.52,0.2826086957,0.6428571429,22642.16909,22642.35237,23185.45711,23185.61694,23185.45711,23185.61694
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_18_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.12287276375771886| 'lambda': 22.560303532179592| 'nu': 0.06768091059653877| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_18_0/0_0_true_network.nw,0.5,8.229,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_18_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,2.258,False,0.0,23623.97771,-11541.77467,23581.50492,-11541.73154,23581.50492,-11541.73154,-1,-1,-1,-1,750,0.15,0.25,1.0,0.44,0.4583333333,1.0,0.52,0.2826086957,0.6428571429,23185.54934,23185.68211,23177.46309,23177.57602,23177.46309,23177.57603
/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_19_0/0_0,20,2,1,2000,1000,PERFECT_SAMPLING,CELINE,{'to': 0.1528840392147461| 'lambda': 17.320019912206707| 'nu': 0.05196005973662012| 'no_of_leaves': 20| 'no_of_hybrids': 1| 'ratio': 0.05| 'min_reticulation_prob': 0.1| 'max_reticulation_prob': 0.9},1.0,-mHKY -t3.0 -f0.3|0.2|0.2|0.3,0,0,0.0,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_19_0/0_0_true_network.nw,0.5,9.204,/home/luttersh/NetRAX/experiments/data/datasets_C_20_1_run_19_0/0_0_AVERAGE_LINKED_FROM_RAXML_inferred_network.nw,AVERAGE,LINKED,FROM_RAXML,0,0,0,19.967,True,0.0,27194.33573,-13279.26882,28093.9278,-13750.25813,28093.92785,-13750.25815,-1,-1,-1,-1,954,0.32,0.5416666667,1.0,0.40740740740000003,0.56,1.0,0.6666666667,0.3541666667,0.7333333333,26678.53765,26678.72093,27612.51631,27612.67613,27612.51625,27612.67608
